Название,Цена,Изменение за день (Rub),Изменение за год (Rub)
Лензолото - привилегированные акции LNZLP,1 820₽,−15₽,−1 065₽
Полюс PLZL,"1 802,4 ₽","−52,2 ₽","+431,2 ₽"
Красный Октябрь KROT,1 534₽,−16₽,−1 250₽
ЭсЭфАй SFIN,"1 470,8 ₽","+0,6 ₽","−144,2 ₽"
Лента LENT,"1 462,5 ₽","−6,5 ₽","+320,5 ₽"
Транснефть - привилегированные акции TRNFP,"1 305,6 ₽","−16,8 ₽","−292,4 ₽"
МТС-Банк MBNK,1 289₽,−27₽,−1 315₽
Группа Позитив POSI,"1 284,4 ₽",−25₽,"−1 670,6 ₽"
НОВАТЭК NVTK,1 270₽,"−44,6 ₽",+41₽
ГК Самолет SMLT,1 258₽,"−24,5 ₽",−2 455₽
Башнефть - привилегированные акции BANEP,"1 216,5 ₽",−18₽,"−1 082,5 ₽"
Северсталь CHMF,"1 078,4 ₽","−28,6 ₽","−809,2 ₽"
ОНГГ ао OBNE,"1 021,14 ₽","+24,51 ₽","−543,85 ₽"
Мать и дитя MDMG,"992,5 ₽","−4,3 ₽","−136,1 ₽"
Группа ЛСР LSRG,"871,2 ₽","+7,4 ₽","−249,8 ₽"
МГТС - акции привилегированные MGTSP,840₽,−6₽,−598₽
НКХП NKHP,824₽,"+2,5 ₽",−220₽
United medical group GEMC,770₽,"−27,2 ₽","−168,2 ₽"
Татнефть TATN,"725,9 ₽","+4,8 ₽","+5,4 ₽"
СОЛЛЕРС SVAV,710₽,"−1,5 ₽",−132₽
Татнефть - привилегированные акции TATNP,"683,8 ₽","+0,2 ₽","−36,1 ₽"
ОНГГ ап OBNEP,"663,98 ₽","−46,02 ₽","−251,01 ₽"
ИНАРКТИКА AQUA,662₽,"−4,5 ₽","−231,5 ₽"
Европлан LEAS,"655,2 ₽",−1₽,"−391,8 ₽"
HENDERSON HNFG,"630,7 ₽","−2,1 ₽","−127,7 ₽"
Газпром нефть SIBN,"582,25 ₽","−0,2 ₽",−167₽
Циан CNRU,551₽,"+18,2 ₽","−430,8 ₽"
ПИК PIKK,504₽,−12₽,"−353,4 ₽"
ВСМПО-АВИСМА VSMO,35520₽,+300₽,−4300₽
Удмуртнефть UDMN,"27387,99₽","−278,02₽","−8112,01₽"
РКК Энергия им.С.П.Королева RKKE,19080₽,−40₽,−9100₽
Акрон AKRN,16162₽,−62₽,−816₽
Лензолото LNZL,12640₽,+140₽,−4030₽
Саратовский НПЗ - акции привилегированные KRKNP,8200₽,+20₽,−3540₽
ЛУКОЙЛ LKOH,6856₽,−58₽,"−1146,5₽"
ФосАгро PHOR,6287₽,−82₽,−323₽
ЮУНК UNKL,5570₽,−30₽,−2200₽
ЧМК CHMK,5350₽,+50₽,−3360₽
Магнит MGNT,"4745,5₽","+101,5₽","−3489,5₽"
Яндекс YDEX,"4314,5₽",−57₽,"+154,5₽"
ЗИЛ ап ZILLP,3 930₽,"+122,99 ₽","+150,01 ₽"
Группа Черкизово GCHE,3 925₽,+73₽,−1 117₽
Ozon Holdings PLC OZON,"3 790,5 ₽","+33,5 ₽",−466₽
Корпоративный Центр Икс 5 X5,3 419₽,−26₽,+621₽
Диасофт DIAS,"3 324,5 ₽","−67,5 ₽","−2 862,5 ₽"
Т-Технологии T,"3 294,4 ₽",−30₽,"+208,4 ₽"
Хэдхантер HEAD,3 251₽,−47₽,−1 667₽
Башнефть BANE,2 053₽,"−6,5 ₽",−1 341₽
Лензолото - привилегированные акции LNZLP,1 820₽,−15₽,−1 065₽
Полюс PLZL,"1 802,4 ₽","−52,2 ₽","+431,2 ₽"
Красный Октябрь KROT,1 534₽,−16₽,−1 250₽
ЭсЭфАй SFIN,"1 470,8 ₽","+0,6 ₽","−144,2 ₽"
Лента LENT,"1 462,5 ₽","−6,5 ₽","+320,5 ₽"
Транснефть - привилегированные акции TRNFP,"1 305,6 ₽","−16,8 ₽","−292,4 ₽"
МТС-Банк MBNK,1 289₽,−27₽,−1 315₽
Группа Позитив POSI,"1 284,4 ₽",−25₽,"−1 670,6 ₽"
НОВАТЭК NVTK,1 270₽,"−44,6 ₽",+41₽
ГК Самолет SMLT,1 258₽,"−24,5 ₽",−2 455₽
Башнефть - привилегированные акции BANEP,"1 216,5 ₽",−18₽,"−1 082,5 ₽"
Северсталь CHMF,"1 078,4 ₽","−28,6 ₽","−809,2 ₽"
ОНГГ ао OBNE,"1 021,14 ₽","+24,51 ₽","−543,85 ₽"
Мать и дитя MDMG,"992,5 ₽","−4,3 ₽","−136,1 ₽"
Группа ЛСР LSRG,"871,2 ₽","+7,4 ₽","−249,8 ₽"
МГТС - акции привилегированные MGTSP,840₽,−6₽,−598₽
НКХП NKHP,824₽,"+2,5 ₽",−220₽
United medical group GEMC,770₽,"−27,2 ₽","−168,2 ₽"
Татнефть TATN,"725,9 ₽","+4,8 ₽","+5,4 ₽"
СОЛЛЕРС SVAV,710₽,"−1,5 ₽",−132₽
Татнефть - привилегированные акции TATNP,"683,8 ₽","+0,2 ₽","−36,1 ₽"
ОНГГ ап OBNEP,"663,98 ₽","−46,02 ₽","−251,01 ₽"
ИНАРКТИКА AQUA,662₽,"−4,5 ₽","−231,5 ₽"
Европлан LEAS,"655,2 ₽",−1₽,"−391,8 ₽"
HENDERSON HNFG,"630,7 ₽","−2,1 ₽","−127,7 ₽"
